num	category	seq	title	writer	date
147	방송통신진흥	1245372	OTT 2.0시대, K-OTT 글로벌 진출 활성화 방안 연구	미디어콘텐츠기획팀	2024-02-15
146	방송통신진흥	6160599	기술중립성 도입이 유료방송 산업 생태계에 미치는 영향 분석 및 정책적 대응방안 연구	미디어콘텐츠기획팀	2024-02-15
145	빛마루방송지원센터	5308669	빛마루 방송시설 이용자 특성 및 이용형태 분석	방송인프라기획팀	2024-01-23
144	기술자격	6422756	정보보호 분야 공인민간자격 발굴 및 운영에 관한 연구	자격기획팀	2024-01-02
143	방송통신진흥	1966286	중소방송사 버추얼 프로덕션 산업 육성 방안 연구	방송미디어기획팀	2023-06-19
142	방송통신진흥	8192245	스마트미디어 서비스 상용화 지원 사업 개편 방안 연구	방송미디어기획팀	2023-06-19
141	방송통신진흥	7471296	디지털미디어 허브 조성을 위한 빛마루 중장기 전략 연구	방송미디어기획팀	2023-06-19
140	방송통신진흥	3408043	디지털미디어 신산업 진흥 방안 및 인력수급 기초조사에 관한 연구	방송미디어기획팀	2023-06-19
139	방송통신진흥	2359546	국내외 온라인 동영상 미디어‧콘텐츠 시장 전망 및 정책 추진방향 연구	방송미디어기획팀	2023-06-19
138	전파진흥	1179871	위성통신 산업 활성화 대비 수요 및 제도 연구	디지털통신융합기획팀	2023-04-25
137	전파진흥	5963971	5G 국제 표준화 연구	디지털통신융합기획팀	2023-04-25
136	전파진흥	7798989	방송통신기자재 등 적합성평가 인증업무 수행체계 구축	디지털통신융합기획팀	2023-04-25
135	전파진흥	1179846	디지털 전환에 따른 5G 모바일 시장전망 및 주파수 경제성 분석	이음5G사업팀	2023-04-20
134	전파검사	6684927	5G/6G 시대에 대비한 중장기 전자파 인체보호제도 개선방안 연구	전자파안전정보센터	2023-04-13
133	기술자격	3604662	디지털 배지 서비스 구현을 위한 정책연구	자격기획팀	2023-03-07
132	전파검사	1179800	무선국 수시 검사제도 개편방안에 관한 연구	검사기획팀	2023-02-13
131	기술자격	4325575	정보보호 분야 검정체계 개선방안	자격기획팀	2022-12-08
130	기술자격	5308634	국가기술자격 검정수수료 원가분석	자격기획팀	2022-11-15
129	전파진흥	5112050	유료방송사 재난방송 자동자막송출시스템 고도화 연구	전파통신사업팀	2022-10-17
128	방송통신진흥	6422752	스마트미디어 산업 육성 진흥방안 연구	방송미디어기획팀	2022-07-18
127	방송통신진흥	5374106	국내 방송·미디어·콘텐츠 제작산업 글로벌 경쟁력 강화 방안 연구	방송미디어기획팀	2022-07-18
126	방송통신진흥	2556139	방송미디어시장 구조개편에 따른 유료방송 정책개선 방안 연구	방송미디어기획팀	2022-07-18
125	방송통신진흥	5046425	미디어 환경 변화에 따른 방송산업 통계체계 개선 방안 연구	방송미디어기획팀	2022-07-18
124	방송통신진흥	2031761	AI미디어 제작센터 구축을 위한 중장기 계획 수립	방송미디어기획팀	2022-07-18
123	전파진흥	4915404	전파산업 생태계 분석 및 유망 산업 도출	전파통신기획팀	2022-05-12
122	전파검사	4456639	전자파 안전 국민 소통체계 구축방안 및 사회·경제적 효과 분석	전자파안전정보센터	2022-04-25
121	전파검사	1179847	생활공간 전자파 인체안전 인증 도입방안 연구	전자파안전정보센터	2022-04-01
120	전파진흥	5439737	주파수 경매 제도의 사회‧경제적 후생효과 분석	관리자	2022-03-16
119	전파진흥	3014754	방송통신기자재등 적합성평가 인증업무 및 수입시장 실태연구	전파기획팀	2022-01-27
118	전파검사	7536736	자율해상 무선기기의 실효성 검증을 위한 연구	전파제도팀	2021-12-27
117	전파검사	6291494	무선국검사 패러다임 전환 연구	검사기획팀	2021-12-23
116	기술자격	6357118	ICT기술변화 가속화에 따른 국가기술자격 대응 전략	자격기획팀	2021-12-23
115	방송통신진흥	2687024	1인 미디어 원스톱 플랫폼 구축 및 운영방안에 관한 연구	관리자	2021-06-15
114	방송통신진흥	8323196	방송·미디어 산업의 시장구조 변화에 대응한 정책방향 수립 연구	관리자	2021-06-15
113	방송통신진흥	3670038	미디어 산업 분야 데이터 기술 활용방안 연구	관리자	2021-06-15
112	방송통신진흥	3866640	스마트미디어센터 운영 활성화 방안 연구	관리자	2021-05-10
111	전파진흥	6815789	통신설비의 극한환경 시험시설 구축방안 연구	관리자	2021-04-07
110	전파진흥	6291458	전파산업 및 미래 경제적 가치에 관한 연구	관리자	2021-04-07
109	전파진흥	983110	신남방국가 등의 전파법 체계 및 전파관리기관 비교분석에 관한 연구	관리자	2021-04-07
108	전파검사	1966101	전기자동차 충전시설 전자파 평가 방법 연구	관리자	2021-03-05
107	전파검사	5636200	5G 공간방사전력 측정의 검사현장 적용성 제고를위한 비교 테스트 및 OTA 측정 절차 제안...	관리자	2021-01-19
106	전파검사	4456549	항공업무의 무선설비의 체계적 관리를 위한 제도개선 연구	관리자	2021-01-07
105	전파진흥	5439573	전파데이터를 활용한 산악구조 수색방안 연구	관리자	2020-12-01
104	방송통신진흥	4456470	국내 스마트사이니지 산업의 해외시장 진출 방안 연구	관리자	2020-08-19
103	방송통신진흥	5570650	4차 산업혁명과 5G 시대에 대응한 방송,미디어 법제도 개선방안 연구	관리자	2020-08-19
102	전파진흥	3735637	지역균형 발전을 위한 ICT기반 전남지역 전략산업 활성화 방안 연구	관리자	2020-07-30
101	전파진흥	5373992	인공지능 중심 산업융합 집적화단지 조성사업의 ICT 연계 방안 연구	관리자	2020-07-30
100	전파검사	262208	5G 도입에 따른 생활환경 및 무선국 전자파 안전관리 방안연구	관리자	2020-05-08
99	전파진흥	983150	전파정보를 활용한 비즈니스 모델발굴 연구	관리자	2020-04-20
98	전파진흥	5832730	주파수 정비(Clearing House) 전담업무 효율적 추진방안 연구	관리자	2020-04-20
97	전파검사	393220	주파수면허제 도입에 따른 무선국의 효율적인 관리방법 연구	관리자	2020-04-09
96	전파진흥	4325390	변형카메라 탐지기기 시장조사를 통한 유관기관간 협업 방안 연구	관리자	2020-04-02
95	방송통신진흥	4587633	전남, 광주지역 스마트 사이니지 서비스 활성화 방안 연구	관리자	2020-02-19
94	방송통신진흥	3670024	유료방송 프로그램 사용 대가 산정 합리화 방안 연구	관리자	2020-02-19
93	방송통신진흥	5374076	OTT 동영상서비스 실태조사 기획 및 구성에 관한 연구	관리자	2020-02-19
92	방송통신진흥	7864329	5G를 활용한 미디어‧콘텐츠 산업 활성화 방안 연구	관리자	2020-02-19
91	전파진흥	6553628	공공용 주파수 적정성 평가방안 연구	관리자	2020-02-10
90	전파진흥	8126585	미래 전파 新시장(에너지 및 의료 분야) 육성을 위한 지원 방안 연구	관리자	2020-01-16
89	전파진흥	1179661	드론, IoT, 무인이동체 등 신산업 서비스 확산에 대응한 전파관리 개선방향 연구	성과관리팀	2019-12-04
88	전파진흥	5898330	국내외 방송통신기자재 시장동향 분석 및 관리 개선방안 연구	성과관리팀	2019-12-04
87	방송통신진흥	3997747	방송·미디어 산업의 사회·문화적 변화에 대응하는 미래전략 연구	성과관리팀	2019-08-02
86	방송통신진흥	8192096	방송·영상아카이브 필요성 및 운영방안 연구	성과관리팀	2019-08-02
85	방송통신진흥	2949210	국내 홈쇼핑 산업에 대한 분석과 제도적 개선방안에 관한 연구	성과관리팀	2019-08-02
84	전파진흥	5832777	통합 공공망(PS-LTE) 전파 혼간섭 모니터링 연구	성과관리팀	2019-07-01
83	전파진흥	6946877	안전사고 예방강화를 위한 재난신호 전달체계 개선방안 연구	성과관리팀	2019-07-01
82	전파진흥	2752533	IoT 등 첨단전파기술을 활용한 고령자 사용제품의 스마트화 전략연구	성과관리팀	2019-06-19
81	전파진흥	4522021	지상파방송(DMB·AM라디오)의 경쟁력 강화와 주파수 이용 개선효과 연구	성과관리팀	2019-06-19
80	전파진흥	5570560	RFID 주파수 이용현황 분석 및 활성화 방안 연구	성과관리팀	2019-06-19
79	전파검사	6750211	5G OTA 측정방법 신뢰성 검증 및 표준화 연구	성과관리팀	2019-05-29
78	기술자격	4521994	ICT 분야 국가기술자격 개편방안 연구	성과관리팀	2019-04-17
77	전파검사	6291501	전자파 노출 차단제품 성능검증을 통한 효율적인 관리방안 연구	성과관리팀	2019-04-17
76	전파진흥	3407908	빅데이터를 이용한 효율적인 전파관리 방안 연구	성과관리팀	2019-04-17
75	전파진흥	6160458	전파‧방송분야 신산업 활성화 방안 연구	성과관리팀	2019-04-17
74	전파진흥	6619219	동북아지역 IoT 주파수 공동이용을 위한 동향분석 및 기술표준방향 연구	성과관리팀	2019-04-10
73	방송통신진흥	1638520	블록체인 기술의 미디어산업 활용방안 연구	성과관리팀	2019-04-10
72	방송통신진흥	7602199	방송통신 및 융합산업 관련 제도 연구	성과관리팀	2019-04-10
71	방송통신진흥	1704053	유료방송 사업자간 공정경쟁 활성화 방안 연구	성과관리팀	2019-04-10
70	방송통신진흥	6291502	글로벌 환경 변화에 따른 방송 산업 중장기 발전방안 연구	성과관리팀	2019-04-10
69	전파진흥	131180	전파자원활용 및 관리의 사회경제적 효과 연구	성과관리팀	2019-01-10
68	기술자격	655455	과정평가형 자격검정의 수탁기관에 관한 연구	성과관리팀	2019-01-10
67	전파검사	2293824	5G 빔포밍 무선국 전자파 인체 노출량 평가방법 연구	성과관리팀	2019-01-10
66	공통	86	ICT 기업 글로벌 진출 활성화 방안 연구	성과관리팀	2019-01-10
65	공통	5374014	KCA인프라를 활용한 일자리 창출 방안 연구	성과관리팀	2019-01-10
64	전파검사	1835013	소형선박의 긴급상황 대처에 관한 연구	성과관리팀	2019-01-10
63	공통	5636163	빛마루 방송지원센터를 활용한 오픈캠퍼스 구축 및 운영방안 도출	성과관리팀	2019-01-10
62	방송통신진흥	4587568	방송프로그램 제작지원 성과검증 및 사업 확대방안 연구	성과관리팀	2019-01-10
61	방송통신진흥	5308515	지능정보화로의 미디어 생태계 진화에 따른 콘텐츠 산업 진흥정책연구	성과관리팀	2019-01-10
60	전파검사	5570574	전자파 인체안전 교육·홍보 방안 연구	성과관리팀	2019-01-10
59	공통	2162764	전파기반 ICT산업 균형 발전을 위한 R&D 플랫폼 구축 방안 연구	성과관리팀	2019-01-10
58	전파검사	3539060	신산업 시대 대비 전자파 인체보호 및 적합성 개선방안 연구	성과관리팀	2019-01-10
57	방송통신진흥	7012447	미디어환경 변화에 대응한 방송진흥 및 규제 정책 방향 연구	성과관리팀	2019-01-10
56	전파진흥	1703950	초연결 사회를 위한 효과적인 전파관리 방안 연구	성과관리팀	2019-01-10
55	방송통신진흥	917587	중소PP 육성과 PP산업 활성화를 위한 법제도 개선방안 연구	성과관리팀	2019-01-10
54	방송통신진흥	2359392	국내MCN 산업 분석 및 활성화 방안	성과관리팀	2019-01-10
53	전파검사	6881368	계산에 의한 무선국 전자파 평가방법 및 도입방안 연구	성과관리팀	2019-01-10
52	전파검사	6291568	5G 이동통신 서비스 도입을 대비한 무선설비 측정방법 연구	성과관리팀	2019-01-10
51	기술자격	3604495	ICT 분야 국가기술자격 효용성 연구	성과관리팀	2019-01-10
50	방송통신진흥	7143465	방송통신전파 기술을 활용한 북한지역 한류 콘텐츠 확산방안 연구	성과관리팀	2019-01-10
49	전파검사	5439522	전파품질이 통신 서비스에 미치는 영향 연구	성과관리팀	2019-01-10
48	전파검사	7077972	국내 인허가 제도의 동향 조사‧분석 연구	성과관리팀	2019-01-10
47	전파검사	6291552	종합유선방송 검사기준·전송망 설비 적합성 확인 절차 개선방안 연구	성과관리팀	2019-01-10
46	공통	7864424	정보통신공사업 설계,감리분야 하도급 실태분석 및 제도개선	성과관리팀	2019-01-10
45	전파진흥	3932169	CPS(Cyber Physical System) 이용확산에 대응한 전파진흥방안 연구	성과관리팀	2019-01-10
44	전파검사	6160421	전파법령 실무 해설집 발간 연구	성과관리팀	2019-01-10
43	방송통신진흥	1179655	국내‧외 디지털 사이니지 산업생태계 분석 및 진흥방안 연구	성과관리팀	2019-01-10
42	공통	262247	협대역 사물인터넷 기술을 활용한 초고령화 사회 지원방안 연구	성과관리팀	2018-10-10
41	공통	7929914	전파산업 생태계 분석 및 지역 전파산업 발전방안 연구	성과관리팀	2018-10-10
40	공통	1966148	5G 기술 관련 산업의 전파 이용제도 연구	성과관리팀	2018-10-10
39	공통	6160478	4차 산업혁명 관련 전파정책 동향 조사·분석 및 발전방안 연구	성과관리팀	2018-10-10
38	공통	2031626	방송·통신·전파 산업 활성화 연구	성과관리팀	2018-10-10
37	공통	8060988	친환경 무선국 설치기준 및 무선국종 분류·무선종사자 기준 연구	성과관리팀	2017-08-01
36	공통	4063343	전파법령 개정에 따른 전파분야 규제개선 효과분석	성과관리팀	2017-08-01
35	공통	4521991	전파기반 ICT산업 지역균형 발전을 위한 연구	성과관리팀	2017-08-01
34	공통	5636186	전자파를 이용한 선박 운항 안전성 강화 방안 연구	성과관리팀	2017-08-01
33	공통	6488102	무인 이동체를 위한 전파기술 및 정책연구	성과관리팀	2017-08-01
32	공통	5177394	ICT, IoT 빅데이터 기술발전에 따른 사회경제적 파급효과 및 대응방안 연구	성과관리팀	2017-08-01
31	공통	6881399	전파정보 활용체계 수립 및 안정적 운영방안 연구	성과창조부	2017-02-27
30	공통	6881325	주파수 수요 평가체계 마련 및 주파수 이용 서비스 현황 분석	성과창조부	2017-02-27
29	공통	4587620	전자파강도 예측(강도) 알고리즘을 통한 평가 방법 연구	성과창조부	2017-02-27
28	공통	8060968	주요 외국의 전파관리 및 복사전력 기준의 무선국 관리방안 연구	성과창조부	2017-02-27
27	공통	1048672	협력-지능형교통체계(C-ITS) 서비스를 위한 효율적인 전파활용 방안에 관한 연구	성과창조부	2017-02-27
26	공통	3801197	남북 ICT교류협력을 위한 전파체제 통합방안연구	성과창조부	2017-02-27
25	공통	3801213	무선전력전송기술을 활용한 방송용 드론에서의 전파활용 및 간섭회피 방안에 대한 연구	성과창조부	2017-02-27
24	공통	1572892	해상에서의 지상파 방송주파수 공동 활용 방안 연구	성과창조부	2017-02-27
23	공통	8061040	방송통신기기 적합성평가 해외사례 조사 분석	성과창조부	2017-02-27
22	공통	7340103	국내환경에 적합한 아마추어국 관리제도 개선방안 연구	성과창조부	2016-11-30
21	공통	6226044	신규 이용 주파수의 효율적 활용·관리방안 연구	성과창조부	2016-11-03
20	공통	4390967	최근의 전파이용환경을 고려한 전파관리제도 합리적·효율적 개선방안 연구	성과창조부	2016-10-04
19	공통	6684790	M/W 주파수 이용효율화 방안 연구	성과창조부	2016-09-19
18	공통	7798875	남북한 ICT교류협력 활성화를 위한 중장기 정책방안 연구	성과창조부	2016-07-03
17	공통	7536708	국내․외 전파기관 업무 비교 분석	성과창조부	2016-06-19
16	공통	4063294	국내외 인명안전 관련 무선국 전파관리실무 조사 비교분석	성과창조부	2016-04-01
15	공통	3080257	ICT기금사업(비R&D)성과지표 분석(2016)	성과창조부	2016-03-28
14	공통	327698	ICT기금사업관리 중장기 발전방안(2016)	성과창조부	2016-03-21
13	공통	7798876	효율적인 전자파 정보제공 및 민원응대 방안 연구(2015)	성과창조부	2015-09-04
12	공통	7209013	선박 실내외 전자파 환경 조사 및 분석(2015)	성과창조부	2015-07-29
11	공통	65637	국내외 전자파 인체영향 연구결과 Gap 분석(2015)	성과창조부	2015-07-29
10	공통	4456548	전파정보 활용성 증대 방안 연구(2015)	성과창조부	2015-07-29
9	공통	6291471	해외 ICT산업 활성화 정책 및 중소기업 지원 사례 조사·분석(2015)	성과창조부	2015-07-29
8	공통	2097239	방송통신연구 관련 연구보고서(2011~2014)	방송기획부	2015-04-10
7	공통	524373	방송관련 연구보고서 (2014)	방송통신기획부	2015-04-10
6	공통	2293800	무선국검사, 전파제도, 전자파관련 연구보고서(2010~2015)	전파검사본부	2015-04-10
5	공통	5767237	전파자원 관련 연구보고서(2010~2013)	자원개발보상부	2015-04-08
4	공통	7274605	전파기획 관련 연구보고서(2014)	전파기획부	2015-04-08
3	공통	7602244	국가기술자격 관련 연구보고서(2014)	기술자격본부	2015-04-07
2	공통	8126500	기금사업관리 관련 연구보고서(2011~2015)	기금사업관리본부	2015-04-07
1	공통	7077903	DTV전환 관련 연구보고서(2010~2011)	DTV전환부	2015-04-07
